Task	Processing Stage	Sub-task	Outcome	Hazard
Acknowledge notification of unscheduled event	Acquisition	Attend to notification	Notification is attended	None
Acknowledge notification of unscheduled event	Acquisition	Attend to notification	Notification is not attended	Perception error
Acknowledge notification of unscheduled event	Assessment	Interpret notification	Notification correctly interpreted	None
Acknowledge notification of unscheduled event	Assessment	Interpret notification	Notification incorrectly interpreted	Decision error
Acknowledge notification of unscheduled event	Assessment	Interpret notification	Notification not understood	Knowledge error
Acknowledge notification of unscheduled event	Decision	Decide to initiate abnormal/emergency procedure	Correctly decide to initiate procedure	None
Acknowledge notification of unscheduled event	Decision	Decide to initiate abnormal/emergency procedure	Correctly decide not to initiate procedure	None
Acknowledge notification of unscheduled event	Decision	Decide to initiate abnormal/emergency procedure	Incorrectly decide to initiate procedure	Decision error; Violation
Acknowledge notification of unscheduled event	Decision	Decide to initiate abnormal/emergency procedure	Incorrectly decide not to initiate procedure	Decision error; Violation
Contact other party	Acquisition	Perceive contacts	All relevant information accurately extracted	None
Contact other party	Acquisition	Perceive contacts	Inaccurate information acquired	Perception error
Contact other party	Acquisition	Perceive contacts	Some relevant information not acquired	Skill-based error; Perception Error
Contact other party	Acquisition	Recall contacts	Recall all relevant information correctly	None
Contact other party	Acquisition	Recall contacts	Recall incorrect information	Skill-based error; Knowledge error
Contact other party	Acquisition	Recall contacts	Fail to recall relevant information	Knowledge error
Contact other party	Assessment	Determine parties to contact	Applicable party identified	None
Contact other party	Assessment	Determine parties to contact	Non-applicable party identified	Decision error; Knowledge error
Contact other party	Assessment	Determine parties to contact	No applicable party identified	Decision error; Knowledge error
Contact other party	Decision	Decide who to contact	Choose most appropriate contact	None
Contact other party	Decision	Decide who to contact	Choose less appropriate contact	Decision error; Violation
Contact other party	Execution	Initiate communication	Effective communication	None
Contact other party	Execution	Initiate communication	Ineffective communication	Skill-based error
Contact other party	Execution	Initiate communication	Communication not established	Skill-based error
Delay new task	Acquisition	Recall other tasks to complete	Recall all relevant information correctly	None
Delay new task	Acquisition	Recall other tasks to complete	Recall incorrect information	Skill-based error; Knowledge error
Delay new task	Acquisition	Recall other tasks to complete	Fail to recall relevant information	Skill-based error; Knowledge error
Delay new task	Assessment	Determine priority	Correctly assess priority of outstanding tasks	None
Delay new task	Assessment	Determine priority	Incorrectly assess priority of outstanding tasks	Decision error; Knowledge error
Delay new task	Decision	Decide when to schedule delayed task	Schedule delayed task according to priority	None
Delay new task	Decision	Decide when to schedule delayed task	Schedule delayed task contrary to priority	Decision error
Delay new task	Decision	Decide when to schedule delayed task	Delayed task not scheduled	Decision error; Violation
Delay new task	Execution	Execute delayed task according to schedule	Delayed task initiated when planned	None
