Sub-task Order (ignore - only used for sorting),Outcome Order (ignore - only used for sorting),Task Category,Task,Processing Stage,Sub-task,Outcome,Hazard,Rationale,Likely Causes,Mitigations,Notes
1,1,Communicate with teammate (receiver),Communicate with teammate ,Perception,Perceive speaker,Complete message heard,None,,,,
1,2,Communicate with teammate (receiver),Communicate with teammate ,Perception,Perceive speaker,Incomplete message heard,Perception error,,,,
1,3,Communicate with teammate (receiver),Communicate with teammate ,Perception,Perceive speaker,Message not heard,Perception error,,,,
2,1,Communicate with teammate (receiver),Communicate with teammate ,Encoding,Encode message,Correctly encode entire message,None,,,,
2,2,Communicate with teammate (receiver),Communicate with teammate ,Encoding,Encode message,Incorrectly encode some of message,Skill-based error; Perception Error,,,,
2,3,Communicate with teammate (receiver),Communicate with teammate ,Encoding,Encode message,Fail to encode some of message,Skill-based error; Perception Error,,,,
3,1,Communicate with teammate (receiver),Communicate with teammate ,Interpretation,Interpret meaning,Correctly interpret the speaker's intention,None,,,,
3,2,Communicate with teammate (receiver),Communicate with teammate ,Interpretation,Interpret meaning,Incorrectly interpret the speaker's intention,Skill-based error; Decision error; Knowledge error,,,,
1,1,Communicate with teammate (sender),Communicate with teammate ,Generate,Form intention,Pertinent intentions generated completely,None,,,,
1,2,Communicate with teammate (sender),Communicate with teammate ,Generate,Form intention,Pertinent intentions generated incompletely,Decision error; Violation,,,,
1,3,Communicate with teammate (sender),Communicate with teammate ,Generate,Form intention,Irrelevant intentions generated,Decision error; Violation,,,,
2,1,Communicate with teammate (sender),Communicate with teammate ,Transcribe,Transcribe message,Clearly transcribe complete intentions into words,None,,,,
2,2,Communicate with teammate (sender),Communicate with teammate ,Transcribe,Transcribe message,Clearly transcribe incomplete intentions into words,Skill-based error,forgotten intentions,,,
2,3,Communicate with teammate (sender),Communicate with teammate ,Transcribe,Transcribe message,Unclearly transcribe intentions into words,Skill-based error,manner or technique,,,
3,1,Communicate with teammate (sender),Communicate with teammate ,Transmit,Send message (speak),Complete message spoken clearly,None,,,,
3,2,Communicate with teammate (sender),Communicate with teammate ,Transmit,Send message (speak),Incomplete message spoken clearly,Skill-based error,forgotten intentions,,,
3,3,Communicate with teammate (sender),Communicate with teammate ,Transmit,Send message (speak),Message spoken unclearly,Skill-based error,manner or technique,,,
3,4,Communicate with teammate (sender),Communicate with teammate ,Transmit,Send message (speak),Message not spoken,Skill-based error; Violation,,,,
1,1,Discrete Control,Hold UAV,Info Acquisition,Perceive controls,All relevant information accurately extracted,None,,,,
1,2,Discrete Control,Hold UAV,Info Acquisition,Perceive controls,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
